iter	Passed	Remaining
565	2557	20038
566	2560	20022
567	2565	20017
568	2568	20000
569	2571	19983
570	2573	19965
571	2576	19945
572	2579	19929
573	2582	19914
574	2586	19901
575	2589	19890
576	2595	19893
577	2598	19882
578	2602	19869
579	2604	19850
580	2609	19848
581	2614	19847
582	2619	19849
583	2623	19840
584	2626	19825
585	2630	19817
586	2637	19826
587	2640	19813
588	2646	19822
589	2650	19811
590	2653	19792
591	2656	19781
592	2661	19779
593	2663	19759
594	2666	19740
595	2669	19728
596	2672	19713
597	2675	19695
598	2677	19675
599	2680	19657
600	2684	19646
601	2688	19640
602	2691	19629
603	2695	19616
604	2702	19630
605	2710	19654
606	2716	19656
607	2726	19692
608	2731	19692
609	2735	19689
610	2742	19701
611	2749	19715
612	2754	19709
613	2756	19692
614	2759	19675
615	2762	19658
616	2765	19641
617	2767	19621
618	2769	19601
619	2772	19585
620	2774	19565
621	2779	19560
622	2783	19552
623	2786	19541
624	2789	19528
625	2792	19513
626	2795	19498
627	2798	19480
628	2800	19463
629	2803	19449
630	2807	19436
631	2810	19427
632	2813	19410
633	2816	19398
634	2819	19383
635	2824	19377
636	2826	19362
637	2829	19345
638	2831	19326
639	2834	19308
640	2836	19291
641	2839	19276
642	2844	19271
643	2847	19259
644	2852	19258
645	2857	19262
646	2863	19264
647	2867	19255
648	2869	19238
649	2873	19227
650	2875	19211
651	2878	19196
652	2882	19187
653	2885	19174
654	2888	19159
655	2892	19152
656	2897	19155
657	2901	19144
658	2904	19133
659	2908	19123
660	2911	19113
661	2915	19101
662	2918	19090
663	2921	19077
664	2924	19061
665	2926	19045
666	2929	19033
667	2932	19016
668	2934	18996
669	2939	18995
670	2943	18989
671	2946	18978
672	2950	18969
673	2953	18954
674	2955	18939
675	2959	18927
676	2962	18917
677	2965	18904
678	2968	18891
679	2971	18878
680	2973	18861
681	2976	18848
682	2981	18847
683	2985	18838
684	2988	18822
685	2990	18805
686	2993	18794
687	2995	18776
688	2999	18765
689	3003	18758
690	3006	18748
691	3009	18735
692	3013	18728
693	3016	18714
694	3019	18704
695	3025	18709
696	3029	18700
697	3032	18690
698	3035	18680
699	3042	18688
700	3045	18675
701	3049	18667
702	3058	18694
703	3062	18689
704	3066	18678
705	3073	18692
706	3077	18686
707	3079	18671
708	3082	18653
709	3087	18655
710	3091	18651
711	3094	18638
712	3097	18626
713	3101	18617
714	3104	18603
715	3108	18599
716	3111	18588
717	3114	18573
718	3118	18568
719	3123	18565
720	3126	18554
721	3129	18540
722	3133	18534
723	3138	18535
