iter	Passed	Remaining
647	3389	22761
648	3394	22757
649	3399	22748
650	3404	22743
651	3409	22737
652	3414	22729
653	3419	22722
654	3424	22714
655	3429	22707
656	3434	22700
657	3438	22690
658	3443	22685
659	3448	22677
660	3453	22670
661	3458	22665
662	3463	22659
663	3468	22652
664	3474	22647
665	3479	22640
666	3483	22631
667	3488	22622
668	3493	22616
669	3498	22607
670	3502	22597
671	3508	22593
672	3513	22587
673	3517	22577
674	3522	22571
675	3527	22561
676	3531	22551
677	3536	22542
678	3541	22538
679	3546	22530
680	3551	22521
681	3556	22515
682	3560	22506
683	3565	22497
684	3571	22497
685	3576	22490
686	3581	22482
687	3586	22480
688	3591	22471
689	3596	22462
690	3601	22455
691	3605	22448
692	3610	22440
693	3615	22433
694	3620	22428
695	3625	22419
696	3630	22412
697	3635	22407
698	3640	22399
699	3645	22391
700	3649	22383
701	3654	22375
702	3659	22367
703	3663	22358
704	3669	22352
705	3673	22345
706	3678	22337
707	3683	22330
708	3688	22321
709	3693	22314
710	3697	22306
711	3702	22299
712	3707	22292
713	3712	22283
714	3717	22278
715	3722	22272
716	3727	22263
717	3732	22257
718	3737	22251
719	3741	22242
720	3746	22233
721	3751	22228
722	3756	22221
723	3761	22212
724	3766	22207
725	3770	22199
726	3775	22191
727	3780	22186
728	3785	22180
729	3790	22171
730	3796	22168
731	3800	22161
732	3805	22153
733	3810	22146
734	3816	22143
735	3821	22139
736	3826	22132
737	3832	22130
738	3836	22121
739	3841	22112
740	3846	22106
741	3851	22099
742	3855	22092
743	3860	22085
744	3865	22077
745	3870	22069
746	3875	22062
747	3880	22057
748	3884	22049
749	3890	22043
750	3895	22037
751	3899	22027
752	3904	22021
753	3909	22016
754	3914	22007
755	3919	22002
756	3923	21993
757	3929	21989
758	3934	21983
759	3938	21975
760	3943	21968
761	3948	21962
762	3953	21953
763	3958	21949
764	3963	21942
765	3968	21934
766	3972	21926
767	3978	21920
768	3982	21912
769	3987	21904
770	3992	21900
771	3997	21892
772	4001	21883
773	4007	21879
774	4011	21871
775	4016	21864
776	4021	21858
777	4026	21852
778	4031	21843
779	4035	21835
780	4041	21833
781	4046	21825
782	4050	21817
783	4056	21814
784	4061	21806
785	4066	21799
786	4071	21796
787	4076	21788
788	4080	21779
789	4085	21772
790	4090	21766
791	4095	21759
792	4100	21751
793	4105	21746
794	4109	21737
795	4114	21730
796	4119	21725
797	4124	21718
798	4129	21710
799	4133	21701
800	4138	21695
801	4143	21687
802	4147	21679
803	4153	21675
804	4157	21668
805	4162	21661
806	4168	21656
807	4172	21648
808	4177	21643
809	4182	21637
810	4187	21629
811	4192	21621
812	4196	21614
813	4202	21609
814	4207	21603
815	4211	21595
816	4216	21590
817	4221	21583
818	4226	21575
819	4230	21567
820	4235	21560
821	4240	21552
822	4244	21543
823	4250	21543
824	4255	21536
825	4260	21528
826	4265	21523
827	4270	21515
828	4274	21506
829	4279	21498
830	4283	21491
831	4288	21484
832	4293	21476
833	4298	21474
834	4303	21466
835	4307	21457
836	4313	21452
837	4317	21444
838	4322	21436
839	4327	21430
840	4332	21424
841	4336	21416
842	4341	21408
843	4347	21406
844	4351	21399
845	4356	21392
846	4361	21387
847	4366	21379
848	4371	21371
849	4376	21365
850	4381	21359
851	4385	21352
852	4391	21348
853	4396	21342
854	4400	21335
855	4405	21328
856	4410	21322
857	4415	21314
858	4420	21307
859	4425	21303
860	4430	21297
861	4435	21291
862	4439	21283
863	4444	21277
864	4449	21271
865	4454	21263
866	4459	21258
867	4464	21251
868	4468	21242
869	4473	21236
870	4478	21232
871	4483	21225
872	4488	21217
873	4493	21213
874	4498	21205
875	4502	21198
876	4508	21193
877	4512	21187
878	4517	21180
879	4522	21174
880	4527	21167
881	4531	21159
882	4536	21151
883	4541	21146
884	4546	21139
885	4550	21130
886	4555	21125
887	4560	21119
888	4565	21113
889	4571	21112
890	4576	21105
891	4581	21098
892	4586	21094
893	4591	21087
894	4595	21079
895	4600	21072
896	4605	21067
897	4610	21059
898	4615	21052
899	4620	21047
900	4624	21040
901	4629	21033
902	4634	21025
903	4639	21019
904	4643	21012
905	4648	21006
906	4654	21003
907	4659	20996
908	4663	20989
909	4668	20983
910	4673	20976
911	4678	20969
912	4682	20961
913	4687	20955
914	4692	20947
915	4696	20939
916	4701	20934
917	4706	20929
918	4711	20922
919	4716	20916
920	4721	20910
921	4725	20902
922	4730	20896
923	4735	20891
924	4740	20884
925	4745	20876
926	4750	20871
927	4754	20864
928	4759	20857
929	4764	20851
930	4769	20845
931	4774	20838
932	4778	20830
933	4784	20827
934	4789	20821
935	4793	20813
936	4798	20808
937	4803	20800
938	4808	20794
939	4813	20788
940	4818	20782
941	4822	20775
942	4827	20768
943	4832	20762
944	4836	20755
945	4842	20751
946	4847	20746
947	4852	20739
948	4857	20733
949	4862	20728
950	4867	20722
951	4871	20715
952	4876	20709
953	4881	20703
954	4886	20697
955	4891	20690
956	4896	20685
957	4901	20679
958	4906	20674
959	4911	20668
960	4916	20662
961	4920	20655
962	4926	20650
963	4930	20643
964	4935	20638
965	4940	20630
966	4945	20625
967	4950	20618
968	4954	20611
969	4959	20605
970	4965	20603
971	4970	20597
972	4976	20594
973	4981	20589
974	4986	20583
975	4991	20577
976	4995	20571
977	5000	20565
978	5005	20558
979	5010	20553
980	5015	20546
981	5019	20539
982	5025	20537
983	5030	20532
984	5035	20526
985	5041	20523
986	5045	20515
987	5051	20511
988	5056	20506
989	5061	20500
990	5065	20492
991	5070	20488
992	5075	20480
993	5080	20475
994	5085	20469
995	5090	20464
996	5094	20456
997	5099	20450
998	5104	20445
999	5109	20438
1000	5114	20432
1001	5119	20425
1002	5123	20418
1003	5128	20410
1004	5132	20403
1005	5137	20398
1006	5142	20392
1007	5147	20385
1008	5152	20380
1009	5157	20373
1010	5162	20367
1011	5166	20359
1012	5171	20354
1013	5176	20348
1014	5180	20340
1015	5185	20334
1016	5190	20327
1017	5194	20320
1018	5199	20314
1019	5204	20309
1020	5209	20303
1021	5214	20296
1022	5219	20292
1023	5224	20286
1024	5229	20279
1025	5235	20277
1026	5239	20270
1027	5244	20263
